Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,$21846,$24066,$22962,$22147,$24793,$30821,$33749,$35819,$36857,$35423,$34501,$37015,$41832,$42057,$43717,$46103,$47602,$51459,$52020,$57128,$58660,$62156,$72392
Real GDP,$136411,$138815,$143993,$151958,$164600,$177197,$190479,$200440,$206427,$198179,$206990,$218771,$223328,$230981,$243872,$250784,$263912,$282283,$297392,$308993,$306947,$350598,
